Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,1024,53.965529680252075,1.8022191203398716
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,2048,0.19725299999999998,0.013828
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,2048,0.285042,0.014258799999999999
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,2048,54.02042031288147,2.0016666597009967
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,4096,0.256218,0.0376908
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,4096,0.289591,0.014270099999999999
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,4096,54.148410081863425,2.0840407389114124
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,6144,0.314502,0.0194076
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,6144,0.336179,0.014264099999999998
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,6144,54.1831185817719,1.7876167429633922
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,8192,0.366365,0.0167136
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,8192,0.369283,0.0210465
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,8192,54.19890475273135,2.093610931521859
AMD Ryzen 5 5600X,NVIDIA RTX 3080,autorally,16384,0.512088,0.0182601
AMD Ryzen 5 5600X,NVIDIA RTX 3080,MPPI-Generic,16384,0.5789810000000001,0.0240727
AMD Ryzen 5 5600X,NVIDIA RTX 3080,torchrl,16384,54.67918300628667,1.6953228458784937
AMD Ryzen 5 5600X,N/A,ros2,128,0.615263,0.0319062
AMD Ryzen 5 5600X,N/A,ros2,256,1.08037,0.04265580000000001
AMD Ryzen 5 5600X,N/A,ros2,512,2.10114,0.0961835
